Platform,Course,anon_screen_name,Week,Effort (sec)
OpenEdX,Engineering/Networking-SP/SelfPaced,5e4dfc4e376bc3c21ffd5431d7e8d867188f87aa,18,1
OpenEdX,Engineering/Networking-SP/SelfPaced,d6fad2a7c550f2ffed8a97c90b3ea9fc1ec99e73,6,2823
OpenEdX,Engineering/Networking-SP/SelfPaced,0152da924408d2e6c9229844b6cde0516d6acba6,5,1
OpenEdX,Engineering/Networking-SP/SelfPaced,178a2a694bd446f503afdc9181bbc8f51f81398e,5,14
OpenEdX,Engineering/Networking-SP/SelfPaced,178a2a694bd446f503afdc9181bbc8f51f81398e,6,29
OpenEdX,Engineering/Networking-SP/SelfPaced,178a2a694bd446f503afdc9181bbc8f51f81398e,7,1205
OpenEdX,Engineering/Networking-SP/SelfPaced,b9f5fde00a1172eedf00b9de2f03baf83ddfb8e6,2,4508
OpenEdX,Engineering/Networking-SP/SelfPaced,b9f5fde00a1172eedf00b9de2f03baf83ddfb8e6,3,2129
OpenEdX,Engineering/Networking-SP/SelfPaced,b9f5fde00a1172eedf00b9de2f03baf83ddfb8e6,4,3809
OpenEdX,Engineering/Networking-SP/SelfPaced,b9f5fde00a1172eedf00b9de2f03baf83ddfb8e6,5,3435
OpenEdX,Engineering/Networking-SP/SelfPaced,b9f5fde00a1172eedf00b9de2f03baf83ddfb8e6,6,2044
OpenEdX,Engineering/Networking-SP/SelfPaced,30b4d360c786799bb4fa1e2059c721a5a827dab8,4,11670
OpenEdX,Engineering/Networking-SP/SelfPaced,0bde17a8d062a26b31931c2b70d22be5487e88e4,13,146
OpenEdX,Engineering/Networking-SP/SelfPaced,6f0b53434c2ef2bcb1c48174766dc7ca83efea30,1,218
OpenEdX,Engineering/Networking-SP/SelfPaced,6f0b53434c2ef2bcb1c48174766dc7ca83efea30,3,1616
OpenEdX,Engineering/Networking-SP/SelfPaced,27185b27943dc3a4ac2b9d489ca94d2a63a35c29,4,181
OpenEdX,Engineering/Networking-SP/SelfPaced,27185b27943dc3a4ac2b9d489ca94d2a63a35c29,13,1
OpenEdX,Engineering/Networking-SP/SelfPaced,7af380ce812113409e77d66538df802a9152c9aa,5,43
OpenEdX,Engineering/Networking-SP/SelfPaced,e060794ebc5f491351eab431d27775c873bafb22,20,1257
OpenEdX,Engineering/Networking-SP/SelfPaced,e060794ebc5f491351eab431d27775c873bafb22,21,2978
OpenEdX,Engineering/Networking-SP/SelfPaced,e060794ebc5f491351eab431d27775c873bafb22,23,3837
OpenEdX,Engineering/Networking-SP/SelfPaced,e060794ebc5f491351eab431d27775c873bafb22,24,699
OpenEdX,Engineering/Networking-SP/SelfPaced,01f1d1e2438c0352821492b9b33fa9d7be354d15,11,7850
OpenEdX,Engineering/Networking-SP/SelfPaced,01f1d1e2438c0352821492b9b33fa9d7be354d15,12,4369
OpenEdX,Engineering/Networking-SP/SelfPaced,47d688e093ff33611d4921d2363a9c3bf424805e,17,1
OpenEdX,Engineering/Networking-SP/SelfPaced,47d688e093ff33611d4921d2363a9c3bf424805e,18,1051
OpenEdX,Engineering/Networking-SP/SelfPaced,3c01eb2e35d96e3d890ff30937269f4cc9cb4ef1,20,8778
OpenEdX,Engineering/Networking-SP/SelfPaced,3c01eb2e35d96e3d890ff30937269f4cc9cb4ef1,21,9054
